"id","cell"
"ENSG00000015532","7316_158_S"
"ENSG00000102100","7316_158_S"
"ENSG00000169764","7316_158_S"
"ENSG00000117308","7316_158_S"
"ENSG00000109814","7316_158_S"
"ENSG00000116704","7316_158_S"
"ENSG00000117143","7316_158_S"
"ENSG00000130958","7316_158_S"
"ENSG00000171302","7316_158_S"
"ENSG00000188690","7316_158_S"
"ENSG00000030066 and ENSG00000069248 and ENSG00000075188 and ENSG00000110713 and ENSG00000111581 and ENSG00000120253 and ENSG00000125450","7316_158_S"
"ENSG00000106348","7316_158_S"
"ENSG00000170385","7316_158_S"
"ENSG00000161533","7316_158_S"
"ENSG00000067840","7316_158_S"
"ENSG00000177646","7316_158_S"
"ENSG00000146066","7316_158_S"
"ENSG00000104723 and ENSG00000118705 and ENSG00000129562 and ENSG00000163527 and ENSG00000163902 and ENSG00000244038","7316_158_S"
"ENSG00000175548","7316_158_S"
"ENSG00000108932","7316_158_S"
"ENSG00000105568 and ENSG00000113575","7316_158_S"
"ENSG00000060656","7316_158_S"
"ENSG00000055609 and ENSG00000167548","7316_158_S"
"ENSG00000126934 and ENSG00000169032","7316_158_S"
"ENSG00000005882","7316_158_S"
"ENSG00000111640","7316_158_S"
"ENSG00000149809","7316_158_S"
"ENSG00000132376","7316_158_S"
"ENSG00000143398","7316_158_S"
"ENSG00000143393","7316_158_S"
"ENSG00000111684","7316_158_S"
"ENSG00000140284","7316_158_S"
"ENSG00000141526","7316_158_S"
"ENSG00000151116","7316_158_S"
"ENSG00000066322","7316_158_S"
"ENSG00000102144","7316_158_S"
"ENSG00000163738","7316_158_S"
"ENSG00000130313","7316_158_S"
"ENSG00000164039","7316_158_S"
"ENSG00000141504","7316_158_S"
"ENSG00000157184","7316_158_S"
"ENSG00000164638","7316_158_S"
"ENSG00000162813","7316_158_S"
"ENSG00000141959","7316_158_S"
"ENSG00000143179","7316_158_S"
"ENSG00000047249","7316_158_S"
"ENSG00000278540","7316_158_S"
"ENSG00000051382","7316_158_S"
"ENSG00000110721","7316_158_S"
"ENSG00000103024","7316_158_S"
"ENSG00000156515","7316_158_S"
"ENSG00000171793","7316_158_S"
"ENSG00000101306","7316_158_S"
"ENSG00000206527","7316_158_S"
"ENSG00000104365 and ENSG00000213341","7316_158_S"
"ENSG00000130304","7316_158_S"
"ENSG00000105281","7316_158_S"
"ENSG00000116353","7316_158_S"
"ENSG00000161217","7316_158_S"
"ENSG00000008300","7316_158_S"
"ENSG00000100997","7316_158_S"
"ENSG00000141279","7316_158_S"
