ModelConditionID,ModelID,ParentModelConditionID,CellFormat,PassageNumber,GrowthMedia,FormulationID,PlateCoating
MC-000841-gQHi,ACH-000841,,adherent,,,,None
MC-000842-yIGU,ACH-000842,,adherent,,MF-021-001,L-15 + 10% FBS,None
MC-000843-58wh,ACH-000843,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000843-xvIf,ACH-000843,,adherent,,,,None
MC-000844-KhKo,ACH-000844,,adherent,,,,None
MC-000845-meEc,ACH-000845,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000846-2o0D,ACH-000846,,adherent,,MF-006-001,MEM + 10% FBS,None
MC-000846-WMVy,ACH-000846,,,,,,None
MC-000847-1a8G,ACH-000847,,adherent,,MF-006-002,MEM + 10% FBS + 2mM Glutamine + 100uM NEAA,None
MC-000847-vO2g,ACH-000847,,adherent,,,,None
MC-000848-koEA,ACH-000848,,adherent,,,,None
MC-000848-TnzG,ACH-000848,,adherent,,MF-022-001,William's E medium + 10% FBS,None
MC-000849-k9Oq,ACH-000849,,adherent,,,,None
MC-000849-Wlea,ACH-000849,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000850-2Pc8,ACH-000850,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000851-DKZr,ACH-000851,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000852-H6cT,ACH-000852,,adherent,,,,None
MC-000852-Hjuv,ACH-000852,,adherent,,MF-001-014,RPMI + 5% FBS,None
MC-000853-HHcY,ACH-000853,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000853-HoA7,ACH-000853,,adherent,,,,None
MC-000854-V9kf,ACH-000854,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000855-emdy,ACH-000855,,monolayer,,MF-011-002,RPMI:F12 (1:1) + 10% FBS,None
MC-000855-P9gt,ACH-000855,,monolayer,,,,None
MC-000856-5i0B,ACH-000856,,monolayer,,,,None
MC-000856-lEgX,ACH-000856,,monolayer,,MF-002-009,DMEM + 20% FBS,None
MC-000857-B9IA,ACH-000857,,,,,,None
MC-000857-Y6lb,ACH-000857,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000858-K7hx,ACH-000858,,adherent,,,,None
MC-000858-toxv,ACH-000858,,adherent,,MF-003-001,AlphaMEM + 10% FBS,None
MC-000859-2MHN,ACH-000859,,adherent,,,,None
MC-000859-RwWg,ACH-000859,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000860-66VU,ACH-000860,,adherent,,,,None
MC-000860-B2eq,ACH-000860,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000861-9ux2,ACH-000861,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000861-cwoA,ACH-000861,,adherent,,,,None
MC-000862-zZCN,ACH-000862,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000863-dUqs,ACH-000863,,adherent,,,,None
MC-000863-FWdm,ACH-000863,,adherent,,MF-001-049,RPMI + 10% FBS + 30 mg/L Proline + 35 mg/L Cystine + 3.57 g/L HEPES +15 mg/L Hypoxanthine +1 mg/L ATP +10 mg/L Adenine + 1 mg/L Thymidine,None
MC-000864-COg6,ACH-000864,,suspension,,MF-001-003,RPMI + 10% FBS + 2mM Glutamine,None
MC-000864-cUmG,ACH-000864,,suspension,,,,None
MC-000865-ux6D,ACH-000865,,adherent,,,,None
MC-000865-Y9CO,ACH-000865,,adherent,,MF-011-002,RPMI:F12 (1:1) + 10% FBS,None
MC-000866-dtB3,ACH-000866,,adherent,,MF-007-010,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,None
MC-000866-SgOR,ACH-000866,,adherent,,,,None
MC-000867-fca0,ACH-000867,,adherent,,,,None
MC-000867-HGDX,ACH-000867,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000868-jz2P,ACH-000868,,monolayer,,MF-001-005,RPMI + 10% FBS + 2mM Glutamine + 25mM HEPES + 25mM Sodium bicarbonate,None
MC-000869-2NiK,ACH-000869,,adherent,,,,None
MC-000869-u5uo,ACH-000869,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000870-oAzK,ACH-000870,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000871-aeyP,ACH-000871,,mixed,,MF-007-001,DMEM:F12 + 10% FBS,None
MC-000871-nKzX,ACH-000871,,mixed,,,,None
MC-000872-Vecx,ACH-000872,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000873-9K63,ACH-000873,,adherent,,,,None
MC-000873-pFjX,ACH-000873,,adherent,,MF-011-002,RPMI:F12 (1:1) + 10% FBS,None
MC-000874-efl6,ACH-000874,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000874-ySU0,ACH-000874,,suspension,,,,None
MC-000875-f2AK,ACH-000875,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000875-H5VC,ACH-000875,,mixed,,,,None
MC-000876-kFGS,ACH-000876,,adherent,,MF-024-008,L15 + 15% FBS + 2mM Glutamine + 10ug/ml Insulin + 10ug/ml Glutathione,None
MC-000876-RsD0,ACH-000876,,adherent,,,,None
MC-000877-xqqy,ACH-000877,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000878-vuWR,ACH-000878,,mixed,,,,None
MC-000878-ZAqb,ACH-000878,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000879-Lcmt,ACH-000879,,adherent,,,,None
MC-000879-ZJNE,ACH-000879,,adherent,,MF-006-008,MEM + 10% FBS + 2mM Glutamine,None
MC-000880-8KRb,ACH-000880,,adherent,,MF-004-001,F12 + 10% FBS,None
MC-000880-Gu8X,ACH-000880,,adherent,,,,None
MC-000881-H36w,ACH-000881,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000881-jqUI,ACH-000881,,monolayer,,,,None
MC-000882-M9go,ACH-000882,,adherent,,,,None
