"id","cell"
"ENSG00000105568 and ENSG00000113575","ACH-000002"
"ENSG00000055609 and ENSG00000167548","ACH-000002"
"ENSG00000126934 and ENSG00000169032","ACH-000002"
"ENSG00000111640","ACH-000002"
"ENSG00000149809","ACH-000002"
"ENSG00000132376","ACH-000002"
"ENSG00000143398","ACH-000002"
"ENSG00000143393","ACH-000002"
"ENSG00000111684","ACH-000002"
"ENSG00000140284","ACH-000002"
"ENSG00000141526","ACH-000002"
"ENSG00000151116","ACH-000002"
"ENSG00000066322","ACH-000002"
"ENSG00000102144","ACH-000002"
"ENSG00000163738","ACH-000002"
"ENSG00000130313","ACH-000002"
"ENSG00000205923","ACH-000002"
"ENSG00000164039","ACH-000002"
"ENSG00000157184","ACH-000002"
"ENSG00000162813","ACH-000002"
"ENSG00000104365 and ENSG00000213341","ACH-000002"
"ENSG00000047249","ACH-000002"
"ENSG00000156515","ACH-000002"
"ENSG00000141959","ACH-000002"
"ENSG00000110721","ACH-000002"
"ENSG00000278540","ACH-000002"
"ENSG00000143179","ACH-000002"
"ENSG00000171793","ACH-000002"
"ENSG00000103024","ACH-000002"
"ENSG00000105851","ACH-000002"
"ENSG00000105281","ACH-000002"
"ENSG00000116353","ACH-000002"
"ENSG00000161217","ACH-000002"
"ENSG00000113163","ACH-000002"
"ENSG00000100997","ACH-000002"
"ENSG00000141279","ACH-000002"
"ENSG00000174669","ACH-000002"
"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848","ACH-000002"
"ENSG00000239672","ACH-000002"
"ENSG00000179163","ACH-000002"
"ENSG00000166228","ACH-000002"
"ENSG00000228716","ACH-000002"
"ENSG00000160752","ACH-000002"
"ENSG00000062822 and ENSG00000077514 and ENSG00000106628 and ENSG00000175482","ACH-000002"
"ENSG00000165282","ACH-000002"
"ENSG00000155287","ACH-000002"
"ENSG00000164068","ACH-000002"
"ENSG00000173540","ACH-000002"
"ENSG00000198380","ACH-000002"
"ENSG00000117450","ACH-000002"
"ENSG00000162694","ACH-000002"
"ENSG00000197601","ACH-000002"
"ENSG00000139514","ACH-000002"
"ENSG00000136381","ACH-000002"
"ENSG00000117411","ACH-000002"
"ENSG00000143811","ACH-000002"
"ENSG00000197119","ACH-000002"
"ENSG00000176393","ACH-000002"
"ENSG00000134333","ACH-000002"
"ENSG00000174684","ACH-000002"
"ENSG00000138018","ACH-000002"
"ENSG00000148334","ACH-000002"
"ENSG00000147224","ACH-000002"
"ENSG00000121851 and ENSG00000090060","ACH-000002"
"ENSG00000054267","ACH-000002"
"ENSG00000136143 and ENSG00000163541","ACH-000002"
"ENSG00000093000","ACH-000002"
"ENSG00000178035","ACH-000002"
"ENSG00000123983","ACH-000002"
"ENSG00000104695 and ENSG00000105568 and ENSG00000221914","ACH-000002"
"ENSG00000005483","ACH-000002"
"ENSG00000084754","ACH-000002"
"ENSG00000084207","ACH-000002"
"ENSG00000141506","ACH-000002"
"ENSG00000155252","ACH-000002"
"ENSG00000149541","ACH-000002"
"ENSG00000143418","ACH-000002"
"ENSG00000168710","ACH-000002"
"ENSG00000071553","ACH-000002"
