,preds,preds_raw,gene_name,cell
526,0.0,0.008078108,ENSG00000139718,7316_158_S
527,0.0,0.06457428,ENSG00000143379,7316_158_S
530,0.0,0.0029191342,ENSG00000165671,7316_158_S
532,0.0,0.005802026,ENSG00000181090,7316_158_S
533,0.0,0.032975666,ENSG00000181555,7316_158_S
534,1.0,0.62566,ENSG00000183955,7316_158_S
536,0.0,0.15495802,ENSG00000204371,7316_158_S
537,0.0,0.03103203,ENSG00000106462,7316_158_S
539,0.0,0.0032363555,ENSG00000060656,7316_158_S
543,0.0,0.49482396,ENSG00000076201,7316_158_S
548,0.0,0.0037728567,ENSG00000081721,7316_158_S
549,0.0,0.00212285,ENSG00000084112,7316_158_S
553,0.0,0.034209646,ENSG00000101224,7316_158_S
557,0.0,0.002233851,ENSG00000108861,7316_158_S
558,0.0,0.3360091,ENSG00000110536,7316_158_S
561,0.0,0.010395576,ENSG00000112245,7316_158_S
564,0.0,0.010854703,ENSG00000112679,7316_158_S
566,0.0,0.001309045,ENSG00000120129,7316_158_S
576,0.0,0.002238246,ENSG00000141298,7316_158_S
596,0.0,0.038122002,ENSG00000164045,7316_158_S
603,0.0,0.49495837,ENSG00000179295,7316_158_S
604,0.0,0.03322835,ENSG00000184007,7316_158_S
606,0.0,0.0029065083,ENSG00000184545,7316_158_S
609,0.0,0.013383068,ENSG00000196396,7316_158_S
613,0.0,0.023588145,ENSG00000005882,7316_158_S
618,0.0,0.0046009403,ENSG00000111684,7316_158_S
624,0.0,0.0508925,ENSG00000134255,7316_158_S
633,0.0,0.0006717149,ENSG00000138018,7316_158_S
637,0.0,0.0015867113,ENSG00000168000,7316_158_S
642,0.0,0.0011064411,ENSG00000077044,7316_158_S
654,0.0,0.20085435,ENSG00000102144,7316_158_S
658,0.0,0.13229743,ENSG00000226784,7316_158_S
660,0.0,0.0006865947,ENSG00000157326,7316_158_S
664,0.0,0.0014983952,ENSG00000084754,7316_158_S
666,0.0,0.0018687202,ENSG00000127884,7316_158_S
667,0.0,0.0029864472,ENSG00000133835,7316_158_S
670,0.0,0.0007620648,ENSG00000167107,7316_158_S
673,0.0,0.022949096,ENSG00000100714,7316_158_S
674,0.0,0.02491782,ENSG00000138363,7316_158_S
675,0.0,0.026979093,ENSG00000136877,7316_158_S
676,0.0,0.03878098,ENSG00000159131,7316_158_S
678,0.0,0.0054110913,ENSG00000065911,7316_158_S
680,0.0,0.0058994885,ENSG00000163738,7316_158_S
682,0.0,0.046800043,ENSG00000116745,7316_158_S
690,0.0,0.00031993966,ENSG00000117592,7316_158_S
691,0.0,0.020789841,ENSG00000164294,7316_158_S
692,0.0,0.40604207,ENSG00000167468,7316_158_S
693,0.0,0.0012372967,ENSG00000176153,7316_158_S
698,0.0,0.004733039,ENSG00000135437,7316_158_S
703,0.0,0.004489175,ENSG00000052802,7316_158_S
706,0.0,0.0003563744,ENSG00000099377,7316_158_S
709,0.0,0.0012303764,ENSG00000121039,7316_158_S
711,0.0,0.0003470163,ENSG00000159692,7316_158_S
