,preds,preds_raw,gene_name,cell
780,1.0,0.92329115,ENSG00000149016 and ENSG00000005075 and ENSG00000013503 and ENSG00000047315 and ENSG00000058600 and ENSG00000066379 and ENSG00000068654 and ENSG00000099817 and ENSG00000099821 and ENSG00000100142 and ENSG00000100413 and ENSG00000102978 and ENSG00000105258 and ENSG00000107951 and ENSG00000125630 and ENSG00000132664 and ENSG00000137054 and ENSG00000144231 and ENSG00000147669 and ENSG00000148606 and ENSG00000161980 and ENSG00000163882 and ENSG00000168002 and ENSG00000168495 and ENSG00000171453 and ENSG00000177700 and ENSG00000181222 and ENSG00000186141 and ENSG00000186184,ACH-000002
781,1.0,0.75084096,ENSG00000143774,ACH-000002
782,1.0,0.7018567,ENSG00000168393,ACH-000002
783,1.0,0.6702927,ENSG00000005022,ACH-000002
785,1.0,0.7427779,ENSG00000067225,ACH-000002
786,0.0,0.008220774,ENSG00000159322,ACH-000002
787,1.0,0.9909909,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848,ACH-000002
788,1.0,0.9909931,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848,ACH-000002
789,0.0,0.02629395,ENSG00000273841,ACH-000002
791,0.0,0.064368196,ENSG00000196511,ACH-000002
792,0.0,0.19174132,ENSG00000125454,ACH-000002
797,0.0,0.08266353,ENSG00000033627,ACH-000002
799,0.0,0.029726574,ENSG00000167900,ACH-000002
801,0.0,0.12929381,ENSG00000001084 and ENSG00000023909,ACH-000002
802,0.0,0.037910067,ENSG00000067057,ACH-000002
806,0.0,0.24524732,ENSG00000121879 and ENSG00000145675,ACH-000002
807,1.0,0.7236517,ENSG00000128050,ACH-000002
809,0.0,0.008432918,ENSG00000160209,ACH-000002
810,0.0,0.015793106,ENSG00000159921,ACH-000002
815,1.0,0.64284784,ENSG00000068120,ACH-000002
818,1.0,0.7220235,ENSG00000084774,ACH-000002
821,1.0,0.5071418,ENSG00000135002,ACH-000002
823,0.0,0.1290622,ENSG00000163541 and ENSG00000172340,ACH-000002
824,0.0,0.2542136,ENSG00000136143 and ENSG00000163541,ACH-000002
829,0.0,0.17817318,ENSG00000059573,ACH-000002
830,0.0,0.49326542,ENSG00000173599,ACH-000002
831,0.0,0.103303224,ENSG00000051382,ACH-000002
837,0.0,0.08635515,ENSG00000100075,ACH-000002
842,0.0,0.45645472,ENSG00000183048,ACH-000002
848,0.0,0.009130951,ENSG00000103064,ACH-000002
849,0.0,0.09889214,ENSG00000105281,ACH-000002
851,0.0,0.34349194,ENSG00000103257,ACH-000002
852,0.0,0.4846731,ENSG00000168003,ACH-000002
853,1.0,0.9885488,ENSG00000090861,ACH-000002
859,0.0,0.30507836,ENSG00000139514,ACH-000002
862,0.0,0.020959353,ENSG00000111371,ACH-000002
863,0.0,0.284214,ENSG00000134294,ACH-000002
866,1.0,0.9904295,ENSG00000119523,ACH-000002
867,0.0,0.23124024,ENSG00000144182,ACH-000002
869,0.0,0.12079356,ENSG00000117480,ACH-000002
870,0.0,0.009073193,ENSG00000131238,ACH-000002
871,0.0,0.053700816,ENSG00000221988,ACH-000002
874,1.0,0.9313148,ENSG00000241258,ACH-000002
877,1.0,0.6485743,ENSG00000113643,ACH-000002
879,1.0,0.98603815,ENSG00000134440,ACH-000002
880,0.0,0.033340674,ENSG00000070669,ACH-000002
881,1.0,0.6920627,ENSG00000035687,ACH-000002
882,0.0,0.2785445,ENSG00000091483,ACH-000002
883,1.0,0.99742967,ENSG00000115866,ACH-000002
886,0.0,0.018813552,ENSG00000131389,ACH-000002
887,0.0,0.39432397,ENSG00000105220,ACH-000002
888,1.0,0.9084846,ENSG00000033011,ACH-000002
890,0.0,0.17225498,ENSG00000116353,ACH-000002
893,0.0,0.08110086,ENSG00000123684,ACH-000002
896,0.0,0.31082,ENSG00000171320,ACH-000002
900,0.0,0.0033019218,ENSG00000113448,ACH-000002
902,0.0,0.032867864,ENSG00000137496,ACH-000002
906,0.0,0.08553645,ENSG00000205268,ACH-000002
907,1.0,0.58690226,ENSG00000101290,ACH-000002
